fecha,grid_id,ndvi,ndbi,elevation,evi,evi2,savi,msavi,gndvi,ndre,cire,gli,psri,ibi,ui,ebbi,bsi,mndwi,ndwi,ndmi,ndsi,nbr,lst_day_c,lst_night_c,month,year,dayofyear,lst_day_c_anomaly,lst_night_c_anomaly
2020-07-11,423_4576,0.2782236696666667,0.022178465488888886,7.222222222222222,0.7229975621212703,0.5028348836130871,0.4172750550090377,0.3891114277796659,0.3132834242222222,0.16849778094444445,0.5595488684444444,0.04499029911111111,0.22786115999999998,2.0907494287434973,-0.127046711,0.1489914952985978,0.06402180552222222,-0.33174141999999995,-0.3132834242222222,0.0019027334444444463,-0.33174141999999995,0.127046711,37.81,24.090000000000032,7,2020,193,4.7527800829875275,1.7419917012448138
2020-07-11,423_4577,0.4851935928571428,-0.12387476985714285,3.142857142857143,1.2336111729428032,0.9141247444183357,0.7276990672906433,0.6417186227584872,0.4810351842857143,0.33495685000000003,1.1814688957142858,0.10566551342857143,0.2268053542857143,-10.857644158529402,-0.33516354857142855,-1.0918099688902738,-0.050096904714285705,-0.37847576,-0.4810351842857143,0.14573303405714286,-0.37847576,0.33516354857142855,36.75000000000006,21.890000000000043,7,2020,193,3.692780082987582,-0.4580082987551748
2020-07-11,423_4578,0.21063250050000001,0.014998704500000001,16.916666666666668,0.6514927136440696,0.34367431898652273,0.3159125858429875,0.3414151614081031,0.25683025666666665,0.12692557791666667,0.3571908475,0.026295819875,0.233839935,-1.5736898128843617,-0.07956600741666667,0.10778703967252583,0.06603102741666667,-0.2726649741666667,-0.25683025666666665,0.0042934864166666665,-0.2726649741666667,0.07956600741666667,37.27000000000004,22.29000000000002,7,2020,193,4.212780082987564,-0.05800829875519753
2020-07-11,423_4579,0.2537165084615384,0.02476910180769231,54.38461538461539,0.6105697283634918,0.4329511112519242,0.3805306152671993,0.38676213942146487,0.33990011000000003,0.155707066,0.45766575553846156,0.0074080537846153835,0.2875539853846154,3.8103712172160686,-0.08635733023076922,0.1636405975921982,0.084033402,-0.36604172,-0.33990011000000003,-0.010489679692307694,-0.36604172,0.08635733023076922,38.170000000000016,22.970000000000027,7,2020,193,5.112780082987541,0.6219917012448093
2020-07-11,423_4580,0.245501259625,0.0011042672500000024,90.75,0.9557290393627925,0.42286116714939415,0.3682071776733722,0.3684039291431418,0.3107827125,0.15065354137499998,0.45604562249999997,0.014854342425,0.245041103375,-5.126906077772279,-0.10279684087499999,-0.014455194275407035,0.057664310375,-0.316159715,-0.3107827125,0.011576016000000001,-0.316159715,0.10279684087499999,37.950000000000045,21.970000000000027,7,2020,193,4.892780082987571,-0.3780082987551907
2020-07-11,423_4581,0.3588742833333333,-0.0502699441111111,131.11111111111111,1.0129707584428096,0.6480299678448957,0.538238163607702,0.5082440309200188,0.39812838,0.23132748722222227,0.7639131122222221,0.04442719744444444,0.2189068177777778,-3.821305642234252,-0.19862986777777777,-0.4290114773710994,0.011033416722222222,-0.3592252555555555,-0.39812838,0.07053748533333333,-0.3592252555555555,0.19862986777777777,36.27000000000004,21.870000000000005,7,2020,193,3.212780082987564,-0.47800829875521345
2020-07-11,423_4582,0.46267347,-0.09173263516666667,176.83333333333334,1.2168945105333178,0.8736215894518456,0.6939159272868382,0.6141267411156074,0.4709976616666667,0.29754933333333333,1.028607085,0.082884586,0.20164283533333335,-4.741655011019648,-0.2948976291666667,-0.7900305861557202,-0.0280012506,-0.40305135166666667,-0.4709976616666667,0.11551324533333333,-0.40305135166666667,0.2948976291666667,34.75000000000006,20.07000000000005,7,2020,193,1.692780082987582,-2.278008298755168
2020-07-11,423_4583,0.5306448553846154,-0.13615171223076922,193.30769230769232,1.3991141362299386,1.0378453915651196,0.7958517102375441,0.6762364948446458,0.5273481338461539,0.3514700215384616,1.3538739715384618,0.09894902264615385,0.1823865569230769,-8.16768056907508,-0.37589465615384615,-1.1494821738578265,-0.07233735531538461,-0.42731324538461535,-0.5273481338461539,0.1644214130769231,-0.42731324538461535,0.37589465615384615,32.57000000000005,18.650000000000038,7,2020,193,-0.48721991701242473,-3.6980082987551803
2020-07-11,423_4588,0.553238216,-0.1364582886,251.8,1.5503173669665,1.0894364627331272,0.8297110820698578,0.698572527211536,0.5408569080000001,0.37007703200000003,1.48033959,0.1025344606,0.14984762899999998,-7.970634475986676,-0.35888722399999995,-1.0991553706138073,-0.0829955034,-0.445505162,-0.5408569080000001,0.1663697638,-0.445505162,0.35888722399999995,28.850000000000023,17.250000000000057,7,2020,193,-4.207219917012452,-5.098008298755161
2020-07-11,424_4576,0.2931202828571428,-0.02489817285714286,8.285714285714286,0.7936991056152072,0.5091145615834248,0.4396195296300876,0.43856868885997563,0.32934573,0.19399646142857144,0.6078289657142857,0.053052024999999996,0.25092992142857146,-3.01983073330133,-0.175869259,-0.23062128436586474,0.03732181685714286,-0.31438506285714285,-0.32934573,0.045042088928571436,-0.31438506285714285,0.175869259,36.63000000000005,24.230000000000015,7,2020,193,3.5727800829875775,1.8819917012447966
